Rank,Team,Year,Total_Game,Win,Draw,Loss,GF,GA,GD,Total_Score
1,Chiangrai United F.C.,2019,30,16,10,4,53,28,25,58
2,Buriram United F.C.,2019,30,16,10,4,51,25,26,58
3,Port F.C.,2019,30,15,8,7,55,36,19,53
4,Bangkok United F.C.,2019,30,13,11,6,55,32,23,50
5,SCG MUANGTHONG UNITED,2019,30,14,4,12,45,42,3,46
6,Samut Prakan City F.C.,2019,30,12,7,11,44,50,-6,43
7,Chonburi F.C.,2019,30,11,7,12,43,45,-2,40
8,Ratchaburi Mitr Phol F.C.,2019,30,10,8,12,48,48,0,38
9,PT Prachuap F.C.,2019,30,9,10,11,32,44,-12,37
10,Trat F.C.,2019,30,9,8,13,47,47,0,35
11,PTT Rayong F.C.,2019,30,9,8,13,33,46,-13,35
12,Sukhothai F.C.,2019,30,6,16,8,37,37,0,34
13,Nakhon Ratchasima F.C.,2019,30,9,7,14,45,51,-6,34
14,Suphanburi F.C.,2019,30,7,11,12,29,44,-15,32
15,Chainat Hornbill F.C.,2019,30,8,6,16,31,50,-19,30
16,Chiangmai F.C.,2019,30,7,7,16,39,62,-23,28
1,Buriram United F.C.,2018,34,28,3,3,76,25,51,87
2,Bangkok United F.C.,2018,34,21,8,5,68,36,32,71
3,Port F.C.,2018,34,19,4,11,73,45,28,61
4,SCG MUANGTHONG UNITED,2018,34,16,11,7,65,53,12,59
5,Chiangrai United F.C.,2018,34,15,10,9,52,36,16,55
6,PT Prachuap F.C.,2018,34,15,8,11,56,46,10,53
7,Nakhon Ratchasima F.C.,2018,34,13,8,13,36,44,-8,47
8,Suphanburi F.C.,2018,34,11,13,10,43,35,8,46
9,Chonburi F.C.,2018,34,13,7,14,45,53,-8,46
10,Pattaya United,2018,34,13,7,14,50,62,-12,46
11,Ratchaburi Mitr Phol F.C.,2018,34,12,7,15,50,53,-3,43
12,Sukhothai F.C.,2018,34,12,7,15,53,63,-10,43
13,BG Pathum United F.C.,2018,34,11,9,14,55,46,9,42
14,Chainat Hornbill F.C.,2018,34,11,9,14,46,52,-6,42
15,Police Tero F.C.,2018,34,10,6,18,53,66,-13,36
16,Royal Thai Navy F.C.,2018,34,7,9,18,44,85,-41,30
17,Ubon United F.C.,2018,34,6,8,20,39,58,-19,26
18,Air Force United F.C.,2018,34,4,4,26,32,78,-46,16
1,Buriram United F.C.,2017,34,27,5,2,85,22,63,86
2,SCG MUANGTHONG UNITED,2017,34,22,6,6,79,29,50,72
3,Bangkok United F.C.,2017,34,21,3,10,97,57,40,66
4,Chiangrai United F.C.,2017,34,18,6,10,67,42,25,60
5,BG Pathum United F.C.,2017,34,16,8,10,63,44,19,56
6,Ratchaburi Mitr Phol F.C.,2017,34,16,7,11,63,49,14,55
7,Chonburi F.C.,2017,34,15,8,11,59,59,0,53
8,Pattaya United,2017,34,15,6,13,60,53,7,51
9,Port F.C.,2017,34,14,8,12,60,63,-3,50
10,Ubon United F.C.,2017,34,12,11,11,55,54,1,47
11,Suphanburi F.C.,2017,34,11,10,13,52,58,-6,43
12,Nakhon Ratchasima F.C.,2017,34,10,11,13,42,48,-6,41
13,Royal Thai Navy F.C.,2017,34,10,10,14,42,50,-8,40
14,Police Tero F.C.,2017,34,10,9,15,42,57,-15,39
15,Sukhothai F.C.,2017,34,8,12,14,54,66,-12,36
16,Thai Honda F.C.,2017,34,8,4,22,43,68,-25,28
17,Sisaket F.C.,2017,34,6,5,23,43,90,-47,23
18,Super Power Samutprakan F.C.,2017,34,1,3,30,31,128,-97,6
1,SCG MUANGTHONG UNITED,2016,31,26,2,3,73,24,49,80
2,Bangkok United F.C.,2016,31,23,6,2,71,36,35,75
3,BG Pathum United F.C.,2016,31,18,3,10,62,41,21,57
4,Buriram United F.C.,2016,30,15,10,5,55,38,17,55
5,Chonburi F.C.,2016,31,14,9,8,52,33,19,51
6,Ratchaburi Mitr Phol F.C.,2016,30,14,7,9,52,35,17,49
7,Sukhothai F.C.,2016,31,13,6,12,50,44,6,45
8,Chiangrai United F.C.,2016,31,13,6,12,42,43,-1,45
9,Police Tero F.C.,2016,30,12,5,13,42,52,-10,41
10,Suphanburi F.C.,2016,31,10,8,13,33,35,-2,38
11,Nakhon Ratchasima F.C.,2016,31,10,5,16,30,44,-14,35
12,Pattaya United,2016,31,9,7,15,46,66,-20,34
13,Sisaket F.C.,2016,31,8,9,14,41,52,-11,33
14,Royal Thai Navy F.C.,2016,31,7,10,14,24,40,-16,31
15,Osotsapa M-150 Samutprakan F.C.,2016,31,8,7,16,45,71,-26,31
16,Army United F.C.,2016,31,8,6,17,34,46,-12,30
17,Chainat Hornbill F.C.,2016,31,8,6,17,46,61,-15,30
18,BBCU F.C.,2016,30,3,4,23,32,69,-37,13
1,Buriram United F.C.,2015,34,25,9,0,98,24,74,84
